ingredient_id|inci_name|cas_number|common_name|primary_function|comedogenic_rating|ewg_hazard_score|is_common_allergen|is_fungal_acne_trigger|description|cir_safety_verdict|fda_warning|cancer_hazard_flag|endocrine_hazard_flag
1|DIISOSTEARYL MALATE||Diisostearyl Malate|Skin-Conditioning Agent|0.0|1.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|No adverse safety finding reported|No warning required|0|0
2|HYDROGENATED POLYISOBUTENE||Hydrogenated Polyisobutene|Skin-Conditioning Agent|0.0|1.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|No adverse safety finding reported|No warning required|0|0
3|PHYTOSTERYL/ISOSTEARYL/CETYL/STEARYL/BEHENYL DIMER DILINOLEATE||Phytosteryl/Isostearyl/Cetyl/Stearyl/Behenyl Dimer Dilinoleate|Skin-Conditioning Agent|0.0|1.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|No adverse safety finding reported|No warning required|0|0
4|HYDROGENATED POLY||Hydrogenated Poly(C6-14 Olefin)|Skin-Conditioning Agent|0.0|1.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|No adverse safety finding reported|No warning required|0|0
5|POLYBUTENE||Polybutene|Skin-Conditioning Agent|0.0|1.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|No adverse safety finding reported|No warning required|0|0
6|MICROCRYSTALLINE WAX / CERA MICROCRISTALLINA||Microcrystalline Wax / Cera Microcristallina|Skin-Conditioning Agent|0.0|1.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|No adverse safety finding reported|No warning required|0|0
7|BUTYROSPERMUM PARKII  BUTTER||Butyrospermum Parkii (Shea) Butter|Skin-Conditioning Agent|0.0|1.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|No adverse safety finding reported|No warning required|0|0
8|SYNTHETIC WAX||Synthetic Wax|Skin-Conditioning Agent|0.0|1.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|No adverse safety finding reported|No warning required|0|0
9|CANDELILLA CERA||Candelilla Cera|Skin-Conditioning Agent|0.0|1.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|No adverse safety finding reported|No warning required|0|0
10|SUCROSE TETRASTEARATE TRIACETATE||Sucrose Tetrastearate Triacetate|Skin-Conditioning Agent|0.0|1.0|0|0|Standard cosmetic ingredient registered in INCI catalog.|No adverse safety finding reported|No warning required|0|0
